,text,author_id,conversation_id,created_at,in_reply_to_user_id,id
54,@WanjikuReports The transformational agenda with @KenGenKenya is on another level.,3137330695,1473929269319553026,2021-12-24T05:47:48.000Z,1242834186173665280,1474255466092204037
55,@WanjikuReports UN,3242696217,1473929269319553026,2021-12-24T05:47:46.000Z,1242834186173665280,1474255457523019796
56,@WanjikuReports 3,180152475,1473929269319553026,2021-12-24T05:42:28.000Z,1242834186173665280,1474254125361737840
57,@WanjikuReports Delloite espencially on investigation side,3434559261,1473929269319553026,2021-12-24T05:42:19.000Z,1242834186173665280,1474254088367976460
58,@WanjikuReports Google,1150400358,1473929269319553026,2021-12-24T05:41:05.000Z,1242834186173665280,1474253779205828628
59,@WanjikuReports @Wanjiku_Reports @DeloitteKenya,1038513409338302470,1473929269319553026,2021-12-24T05:40:32.000Z,1242834186173665280,1474253640164651049
60,@WanjikuReports 4,713848596,1473929269319553026,2021-12-24T05:38:11.000Z,1242834186173665280,1474253049615036444
61,@WanjikuReports 8. Deloitte,2481294006,1473929269319553026,2021-12-24T05:35:46.000Z,1242834186173665280,1474252440606289943
62,"@WanjikuReports EABL
BAT
Coca Cola
Safaricom
KRA
UN",733237745993277440,1473929269319553026,2021-12-24T05:35:18.000Z,1242834186173665280,1474252322654015489
63,@WanjikuReports @SafaricomPLC any day any time,3094393384,1473929269319553026,2021-12-24T05:34:37.000Z,1242834186173665280,1474252149601284154
64,@WanjikuReports Kra,1311749536101040134,1473929269319553026,2021-12-24T05:33:15.000Z,1242834186173665280,1474251807681622044
65,@WanjikuReports I would feel very grateful and advantaged working for @Google as a junior IT security analyst for more experiences napenda services zao  #employment,4856537553,1473929269319553026,2021-12-24T05:32:49.000Z,1242834186173665280,1474251698206126080
66,"@WanjikuReports Any would be okay working in the IT dept, but it's only @UN that would give me the fulfillment, serving humanity, being out there on the field...life changing experiences.",313874948,1473929269319553026,2021-12-24T05:29:51.000Z,1242834186173665280,1474250948444893185
67,@WanjikuReports Sol Gen,2470554091,1473929269319553026,2021-12-24T05:28:10.000Z,1242834186173665280,1474250525726158878
68,@WanjikuReports Google,898042550531104768,1473929269319553026,2021-12-24T05:27:23.000Z,1242834186173665280,1474250328975552556
69,@LemmyGunga @WanjikuReports Unataka kupipe mayengs na wamama wa ploti,749988304737755136,1473929269319553026,2021-12-24T05:26:09.000Z,1202846026027147264,1474250020702597143
70,@WanjikuReports @Microsoft,1360512985307971584,1473929269319553026,2021-12-24T05:25:46.000Z,1242834186173665280,1474249923377967126
71,@WanjikuReports @MoiUniversityKe The Foundation of Knowledge. 😎,228625193,1473929269319553026,2021-12-24T05:24:24.000Z,1242834186173665280,1474249580657192996
72,@WanjikuReports Today's sure winning ticket is ready my WhatsApp link👉👉👉https://t.co/mnjMdZ4ixX https://t.co/dJ6VcAaNHI,1435653461043994630,1473929269319553026,2021-12-24T05:24:23.000Z,1242834186173665280,1474249576211173376
73,@WanjikuReports @UN  here I come.,1139818909396361216,1473929269319553026,2021-12-24T05:22:12.000Z,1242834186173665280,1474249026933514243
74,@WanjikuReports Amref,2343187528,1473929269319553026,2021-12-24T05:19:00.000Z,1242834186173665280,1474248220079501315
75,@WanjikuReports 14 @Microsoft,426072424,1473929269319553026,2021-12-24T05:17:22.000Z,1242834186173665280,1474247808186265647
76,@WanjikuReports 3,959881814,1473929269319553026,2021-12-24T05:16:00.000Z,1242834186173665280,1474247465104781332
77,@WanjikuReports Kengen/Kenya Pipeline/Kenya Port🕯️🕯️,725308539770691584,1473929269319553026,2021-12-24T05:14:29.000Z,1242834186173665280,1474247081674092555
78,@_O_G_K @WanjikuReports My thoughts too... G.O.K is one of the best employers.,1962821521,1473929269319553026,2021-12-24T05:14:04.000Z,1254821540287430657,1474246976535474204
79,@WanjikuReports @UnitedNationsJO,1019925852052652032,1473929269319553026,2021-12-24T05:13:54.000Z,1242834186173665280,1474246935959715840
